corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
arta	alisiya	0001	#	#	##	##				
arta	alisiya	0001	#	#	#ac	#ac				
arta	alisiya	0001	Atti:	exist	other:pred	other		pred		
arta	alisiya	0001	=mi	=1PL.GEN	=pro.1:s_other	=pro	1	s_other		
arta	alisiya	0001	=ti	=SPC	=other	=other				
arta	alisiya	0001	ta	OBL	ln	ln				
arta	alisiya	0001	Alicia	Alicia	np:l	np		l		
arta	alisiya	0001	%	%	%	%				
arta	alisiya	0001	nang-uma	PST.AV-field	v:pred	v		pred		
arta	alisiya	0001	=ami	=1PL	=pro.1:a_a	=pro	1	a_a		
arta	alisiya	0001	ta	OBL	ln	ln				
arta	alisiya	0001	melel-layat	ADJ.RDP-wide	ln	ln				
arta	alisiya	0001	a	LIG	ln	ln				
arta	alisiya	0001	uma	field	np:p_a	np		p_a		
arta	alisiya	0001	=mi	=1PL.GEN	=rn_pro.1:poss	=rn_pro	1	poss		
arta	alisiya	0002	#	#	##	##				
arta	alisiya	0002	#	#	#ac	#ac				
arta	alisiya	0002	Unadda	after	other	other				
arta	alisiya	0002	n-angay	PST-go	other	other				
arta	alisiya	0002	=ami	=1PL	=pro.1:s_a	=pro	1	s_a		
arta	alisiya	0002	ti	PSN	ln	ln				
arta	alisiya	0002	ama	father	np.h:appos	np	h	appos		
arta	alisiya	0002	=ku	=1SG.GEN	=rn_pro.1:poss	=rn_pro	1	poss		
arta	alisiya	0002	nang-insun	PST.AV-weed	v:pred	v		pred		
arta	alisiya	0002	%	%	%	%				
arta	alisiya	0002	#	#	#ac	#ac				
arta	alisiya	0002	nan-tanga	PST.AV-middle	v:pred	v		pred		
arta	alisiya	0002	=d	=POST	=rv	=rv				
arta	alisiya	0002	i	DEF	ln	ln				
arta	alisiya	0002	langit	day	np:s_a	np		s_a		
arta	alisiya	0003	%	%	%	%				
arta	alisiya	0003	tit-tutttud	STV.AV-sit	v:pred	v		pred		
arta	alisiya	0003	=tèn	=1SG	=pro.1:a_a	=pro	1	a_a		
arta	alisiya	0003	ti	OBL.DEF	ln	ln				
arta	alisiya	0003	wa	PLH	nc	nc				
arta	alisiya	0003	=y	=SPC	nc	nc				
arta	alisiya	0003	bub-buntun	PL-anthill	np:p_a	np		p_a		
arta	alisiya	0003	#	#	##	##				
arta	alisiya	0003	n-um-angay	PST-AV-go	other	other				
arta	alisiya	0003	=tèn	=1SG	=pro.1:a_a	=pro	1	a_a		
arta	alisiya	0003	t<in><um>uttud	<PST><AV>sit	v:pred	v		pred		
arta	alisiya	0003	ti	OBL.DEF	ln	ln				
arta	alisiya	0003	buntun	anthill	np:p_a	np		p_a		
arta	alisiya	0003	=i	=SPC	=rn	=rn				
arta	alisiya	0003	#	#	#ac	#ac				
arta	alisiya	0003	pa:ng-insun	NF.AV-weed	v:pred	v		pred		
arta	alisiya	0003	ti	PSN	ln	ln				
arta	alisiya	0003	ama	father	np.h:s_a	np	h	s_a		
arta	alisiya	0003	=ku	=1SG.GEN	=rn_pro.1:poss	=rn_pro	1	poss		
arta	alisiya	0004	#	#	##	##				
arta	alisiya	0004	na-sungdu	PST.AV-finish	v:pred	v		pred		
arta	alisiya	0004	#	#	#cc:s_a	#cc		s_a		
arta	alisiya	0004	nang-insun	PST.AV-weed	v:pred	v		pred		
arta	alisiya	0004	ti	PSN	ln	ln				
arta	alisiya	0004	ama	father	np.h:s_a	np	h	s_a		
arta	alisiya	0004	=ku	=1SG.GEN	=rn_pro.1:poss	=rn_pro	1	poss		
arta	alisiya	0004	ta	OBL	ln	ln				
arta	alisiya	0004	malu:tèp	afternoon	np:other	np		other		
arta	alisiya	0004	#	#	##	##				
arta	alisiya	0004	d<in><um>igdig	<PST><AV>arrive	v:pred	v		pred		
arta	alisiya	0004	=ami	=1PL	=pro.1:s_a	=pro	1	s_a		
arta	alisiya	0004	#	#	##	##				
arta	alisiya	0004	na-paditèng	PST.AV-disease	v:pred	v		pred		
arta	alisiya	0004	=de:	=POST	=rv	=rv				
arta	alisiya	0004	=tèn	=1SG	=pro.1:s_a	=pro	1	s_a		
arta	alisiya	0005	#	#	##	##				
arta	alisiya	0005	Med-dègès	ADJ-pain	other:pred	other		pred		
arta	alisiya	0005	i	DEF	ln	ln				
arta	alisiya	0005	ulu	head	np:s_other	np		s_other		
arta	alisiya	0005	=ku	=1SG.GEN	=rn_pro.1:poss	=rn_pro	1	poss		
arta	alisiya	0005	=y	=SPC	=rn	=rn				
arta	alisiya	0005	#	#	##	##				
arta	alisiya	0005	med-dègès	ADJ-pain	other:pred	other		pred		
arta	alisiya	0005	i	DEF	ln	ln				
arta	alisiya	0005	ragaw	chest	np:s_other	np		s_other		
arta	alisiya	0005	=u	=1SG.GEN	=rn	=rn				
arta	alisiya	0005	=y	=SPC	=rn	=rn				
arta	alisiya	0005	#	#	##	##				
arta	alisiya	0005	med-dègès	ADJ-pain	other:pred	other		pred		
arta	alisiya	0005	i	DEF	ln	ln				
arta	alisiya	0005	sapang	back	np:s_other	np		s_other		
arta	alisiya	0005	=ku	=1SG.GEN	=rn	=rn				
arta	alisiya	0005	=y	=SPC	=rn	=rn				
arta	alisiya	0006	#	#	##neg	##neg				
arta	alisiya	0006	#	#	#ac.neg	#ac.neg				
arta	alisiya	0006	ta	since	other	other				
arta	alisiya	0006	awan	NEG	other	other				
arta	alisiya	0006	=di	=3PL.GEN	=pro.h:a_up	=pro	h	a_up		
arta	alisiya	0006	=te:	=just	=rv	=rv				
arta	alisiya	0006	=tèn	=1SG	=pro.1:p_up	=pro	1	p_up		
arta	alisiya	0006	na-pa:-tuma-tumar	PST.PV.POT-CAUS-PLRC-take.medicine	v:pred	v		pred		
arta	alisiya	0006	=di	=di	nc	nc				
arta	alisiya	0006	=tèn	=1SG	nc	nc				
arta	alisiya	0006	ta	OBL	ln	ln				
arta	alisiya	0006	ta'lu	ta'lu	ln	ln				
arta	alisiya	0006	a	LIG	ln	ln				
arta	alisiya	0006	biyungèt	biyungèt	np:other	np		other		
arta	alisiya	0007	%	%	%	%				
arta	alisiya	0007	awan	NEG	other	other				
arta	alisiya	0007	=te:	=just	=rv	=rv				
arta	alisiya	0007	ma-pili	POT.PV-remove	v:pred	v		pred		
arta	alisiya	0007	paditèng	disease	np:s_u	np		s_u		
arta	alisiya	0007	=u	=1SG.GEN	=rn_pro.1:poss	=rn_pro	1	poss		
arta	alisiya	0007	=y	=SPC	=rn	=rn				
arta	alisiya	0008	#	#	##	##				
arta	alisiya	0008	mang-a:na	AV-say	v:pred	v		pred		
arta	alisiya	0008	ti	PSN	ln	ln				
arta	alisiya	0008	ama	father	np.h:s_a_ds	np	h	s_a_ds		
arta	alisiya	0008	=ku	=1SG.GEN	=rn_pro.1:poss	=rn_pro	1	poss		
arta	alisiya	0008	#	#	##ds	##ds				
arta	alisiya	0008	m-angay	AV-go	v:pred	v		pred		
arta	alisiya	0008	=ita	=1+2SG	=pro.1:a_a	=pro	1	a_a		
arta	alisiya	0008	ta	OBL	ln	ln				
arta	alisiya	0008	ospital	hospital	np:p_a	np		p_a		
arta	alisiya	0008	#	#	##ds	##ds				
arta	alisiya	0008	y-angay	CV-go	v:pred	v		pred		
arta	alisiya	0008	=ita	=1+2SG	=pro.1:s_u	=pro	1	s_u		
arta	alisiya	0008	=d	=POST	=rn	=rn				
arta	alisiya	0008	=ta	=DIST.OBL	=rn	=rn				
arta	alisiya	0008	ni	PSN.OBL	ln	ln				
arta	alisiya	0008	mangantu:law	doctor	np.h:bpi_obl	np	h	bpi_obl		
arta	alisiya	0008	=ya	=DIST	=rn	=rn				
arta	alisiya	0008	ta	OBL	ln	ln				
arta	alisiya	0008	Echuage	Echuage	np:other	np		other		
arta	alisiya	0009	#	#	##	##				
