corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
arta	child	0001	NC	NC	nc	nc				
arta	child	0002	#	#	##neg	##neg				
arta	child	0002	Awan	NEG	other	other				
arta	child	0002	=u	=1SG.GEN	=pro.1:a_u	=pro	1	a_u		
arta	child	0002	i-bud	CV-say	v:pred	v		pred		
arta	child	0002	#	#	#cc:p_u	#cc		p_u		
arta	child	0002	a	LIG	other	other				
arta	child	0002	ay	TOP	ln	ln				
arta	child	0002	tidi	DEF.PL	ln	ln				
arta	child	0002	kakka:nak	child.PL	np.h:dt_p	np	h	dt_p		
arta	child	0002	=mi	=1PL.GEN	=rn_pro.1:poss	=rn_pro	1	poss		
arta	child	0002	ta:me:ta	different	np.h:a_a	np	h	a_a		
arta	child	0002	i	DEF	other	other				
arta	child	0002	m<in>aN-pa-ka:man	<PST>AV-CAUS-big	v:pred	v		pred		
arta	child	0002	=did	=3PL.OBL	=pro.h:p_a	=pro	h	p_a		
arta	child	0003	#	#	##	##				
arta	child	0003	Konta	but	other	other				
arta	child	0003	tami	1PL.TOP	pro:dt_a	pro		dt_a		
arta	child	0003	=te	=only	=rn	=rn				
arta	child	0003	a	LIG	rn	rn				
arta	child	0003	passa:sawa	couple	rn	rn				
arta	child	0003	tami	1PL.TOP	pro.1:a_a	pro	1	a_a		
arta	child	0003	=te	=only	=rn	=rn				
arta	child	0003	minaN-pa-ka:man	<PST>AV-CAUS-big	v:pred	v		pred		
arta	child	0003	=did	=3PL.OBL	=pro.h:p_a	=pro	h	p_a		
arta	child	0003	ta	OBL	ln	ln				
arta	child	0003	sakripi:syo	sacrifice	np:obl	np		obl		
arta	child	0003	=mi	=1PL.GEN	=rn_pro.1:poss	=rn_pro	1	poss		
arta	child	0004	#	#	##	##				
arta	child	0004	Saya	DIST	dem_pro:p_u	dem_pro		p_u		
arta	child	0004	i	DEF	other	other				
arta	child	0004	g<in>imit	<PST.PV>do	v:pred	v		pred		
arta	child	0004	=mi	=1PL.GEN	=pro.1:a_u	=pro	1	a_u		
arta	child	0004	#	#	#	#				
arta	child	0004	g<in>imit	<PST.PV>do	v:pred	v		pred		
arta	child	0004	=mi	=1PL.GEN	=pro.1:a_u	=pro	1	a_u		
arta	child	0004	a	LIG	ln	ln				
arta	child	0004	sakripisu	sacrifice	np:p_u	np		p_u		
arta	child	0005	#	#	#ac	#ac				
arta	child	0005	take:ta	so that	other	other				
arta	child	0005	ma-to:lay	AV-live	v:pred	v		pred		
arta	child	0005	tidi	PL.DEF	ln	ln				
arta	child	0005	kakka:nak	child.PL	np.h:s_a	np	h	s_a		
arta	child	0005	=mi	=1PL.GEN	=rn_pro.1:poss	=rn_pro	1	poss		
arta	child	0005	a	LIG	rn	rn				
arta	child	0005	ta'lo	three	rn	rn				
arta	child	0006	si:pang	one	rn	rn				
arta	child	0006	a	LIG	rn	rn				
arta	child	0006	gilangan	male	rn	rn				
arta	child	0006	tallip	two	rn	rn				
arta	child	0006	a	LIG	rn	rn				
arta	child	0006	bukka:gan	female	rn	rn				
arta	child	0007	tidi	PL.DEF	nc	nc				
arta	child	0007	ta'lu	three	nc	nc				
arta	child	0007	=y	=SPC	nc	nc				
arta	child	0007	a	LIG	nc	nc				
arta	child	0007	aytidi	PL.DEF	nc	nc				
arta	child	0007	tallip	three	nc	nc				
arta	child	0007	=i	=SPC	nc	nc				
arta	child	0007	a	LIG	nc	nc				
arta	child	0007	buka:gan	female	nc	nc				
arta	child	0008	#	#	##	##				
arta	child	0008	ay	TOP	ln	ln				
arta	child	0008	nedutul	first.child	np.h:dt_poss	np	h	dt_poss		
arta	child	0008	=i	=SPC	=rn	=rn				
arta	child	0008	ta'lu	three	other:pred	other		pred		
arta	child	0008	ana:	child	np.h:s_other	np	h	s_other		
arta	child	0008	=na	=3SG.GEN	=rn_pro.h:poss	=rn_pro	h	poss		
arta	child	0008	tallip	two	rn	rn				
arta	child	0008	a	LIG	rn	rn				
arta	child	0008	buka:gan	female	rn	rn				
arta	child	0008	si:pang	one	rn	rn				
arta	child	0008	a	LIG	rn	rn				
arta	child	0008	gilangan	male	rn	rn				
arta	child	0009	#	#	#nc	#nc				
arta	child	0009	ay	TOP	nc	nc				
arta	child	0009	sumaruno	next	nc	nc				
arta	child	0009	=ti	=SPC	nc	nc				
arta	child	0009	d<in><um>utuli-an	<PST><AV>first-LV	nc	nc				
arta	child	0009	na	GEN	nc	nc				
arta	child	0009	ana:	child	nc	nc				
arta	child	0009	=na	=3SG.GEN	nc	nc				
arta	child	0010	#	#	##	##				
arta	child	0010	Uppat	four	other:pred	other		pred		
