corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
arta	delia	0001	#	#	##	##				
arta	delia	0001	Konta	but	other	other				
arta	delia	0001	ayde:tay	now	other	other				
arta	delia	0001	k<in><um>a:man	<PST><INTR>big	v:pred	v		pred		
arta	delia	0001	=ami	=1PL.ABS	=pro.1:s_a	=pro	1	s_a		
arta	delia	0001	=d	=POST	=other	=other				
arta	delia	0001	#	#	#	#				
arta	delia	0001	atti:	exist	other:predex	other		predex		
arta	delia	0001	=ami	=1PL.ABS	=pro.1:s_other	=pro	1	s_other		
arta	delia	0001	ti	OBL.DEF	ln	ln				
arta	delia	0001	aytina	DEM.MED.OBL	ln	ln				
arta	delia	0001	=y	=SPC	=ln	=ln				
arta	delia	0001	Disubu	Disubu	np:l	np		l		
arta	delia	0001	=y	=SPC	=rn	=rn				
arta	delia	0002	#	#	##	##				
arta	delia	0002	#	#	#ac	#ac				
arta	delia	0002	Ki:gad	up.to	other	other				
arta	delia	0002	ta	OBL	other	other				
arta	delia	0002	k<in><um>a:man	<PST><INTR>big	v:pred	v		pred		
arta	delia	0002	=ami	=1PL.ABS	=pro.1:s_a	=pro	1	s_a		
arta	delia	0003	#	#	#ac	#ac				
arta	delia	0003	ki:gad	up.to	other	other				
arta	delia	0003	ta	OBL	other	other				
arta	delia	0003	na-ulitaw	PST.INTR-male.teeanger	v:pred	v		pred		
arta	delia	0003	=ami	=1PL.ABS	=pro.1:s_a	=pro	1	s_a		
arta	delia	0003	%	%	%	%				
arta	delia	0004	atti:	exist	other	other				
arta	delia	0004	=ami	=1PL.ABS	=pro.1:s_np	=pro	1	s_np		
arta	delia	0004	ti	OBL.DEF	ln	ln				
arta	delia	0004	Aglipay	Aglipay	np:pred_l	np		pred_l		
arta	delia	0004	wa	PHL	other	other				
arta	delia	0005	Disubu	Disubu	other	other				
arta	delia	0006	#	#	##	##				
arta	delia	0006	Awan	NEG	other	other				
arta	delia	0006	n-um-angay	PST.INTR-go	v:pred	v		pred		
arta	delia	0006	=ami	=1PL.ABS	=pro.1:a_a	=pro	1	a_a		
arta	delia	0006	=tep	=ANT	=other	=other				
arta	delia	0006	ti	OBL.DEF	ln	ln				
arta	delia	0006	ayta	DEM.DIST.OBL	np:p_a	np		p_a		
arta	delia	0006	#	#	#	#				
arta	delia	0006	0	0	0.1:a_u	0	1	a_u		
arta	delia	0006	n-angay	PST-go	v:pred	v		pred		
arta	delia	0006	anyina	DEM.MED	dem_pro:p_u	dem_pro		p_u		
arta	delia	0006	=y	=SPC	=rn	=rn				
arta	delia	0006	wa	PLH	nc	nc				
arta	delia	0006	=y	=SPC	nc	nc				
arta	delia	0006	Maddela	Maddela	rn	rn				
arta	delia	0007	Sumaruno	next	other	other				
arta	delia	0008	#	#	##	##				
arta	delia	0008	#	#	#ac	#ac				
arta	delia	0008	Na-bayag	PST.INTR-long	v:pred	v		pred		
arta	delia	0008	=ami	=1PL.ABS	=pro.1:s_a	=pro	1	s_a		
arta	delia	0008	=tina	=DEM.MED.OBL	=other:l	=other		l		
arta	delia	0008	%	%	%	%				
arta	delia	0009	ay	FILL	other	other				
arta	delia	0009	In-um-angay	PST-INTR-go	v:pred	v		pred		
arta	delia	0009	=ami	=1PL.ABS	=pro.1:a_a	=pro	1	a_a		
arta	delia	0009	=mandi	=again	=other	=other				
arta	delia	0009	ti	OBL.DEF	ln	ln				
arta	delia	0009	aytina	DEM.MED.OBL	ln	ln				
arta	delia	0009	=y	=SPC	=ln	=ln				
arta	delia	0009	Disunumgal	Disimungal	np:p_a	np		p_a		
arta	delia	0010	#	#	##	##				
arta	delia	0010	Saya	DEM.DIST	other	other				
arta	delia	0010	manga:-aka:kat	STV-misery	v:pred	v		pred		
arta	delia	0010	=ami	=1PL.ABS	=pro:s_a	=pro		s_a		
arta	delia	0011	#	#	##neg	##neg				
arta	delia	0011	Awan	NEG	other	other				
arta	delia	0011	ta	OBL	other	other				
arta	delia	0011	awan	NEG	other:predex	other		predex		
arta	delia	0011	ta	OBL	ln	ln				
arta	delia	0011	uma	field	np:ncs_other	np		ncs_other		
arta	delia	0011	=mi	=1PL.GEN	=rn_pro.1:poss	=rn_pro	1	poss		
arta	delia	0011	#	#	##	##				
arta	delia	0011	amma	if	other	other				
arta	delia	0011	ka:rawan	sometimes	other	other				
arta	delia	0011	awan	NEG	other:predex	other		predex		
arta	delia	0011	=ami	=1PL.ABS	=rn_pro.1:poss	=rn_pro	1	poss		
arta	delia	0011	ta	OBL	ln	ln				
arta	delia	0011	#	#	#rc	#rc				
arta	delia	0011	0	0	f0:p_u	f0		p_u		
arta	delia	0011	an-èn	eat-TR	v:pred	v		pred		
arta	delia	0011	%	%	%	%				
arta	delia	0011	a	LIG	other	other				
arta	delia	0011	mabaw	carbohydrate	np:ncs_other	np		ncs_other		
arta	delia	0011	baggat	rice	other	other				
arta	delia	0012	#	#	##	##				
