corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
arta	disubu	0001	#	#	##	##				
arta	disubu	0001	Ay	FILL	ln	ln				
arta	disubu	0001	ilus	yam	np:pred	np		pred		
arta	disubu	0001	=di:ti	=before	=other	=other				
arta	disubu	0001	#	#	##	##				
arta	disubu	0001	saya	DIST	dem_pro:s_np	dem_pro		s_np		
arta	disubu	0001	i	DEF	ln	ln				
arta	disubu	0001	pang-a:n-én	NF-eat-PV	np:pred	np		pred		
arta	disubu	0001	=mi	=1PL.GEN	=rn_pro.1:poss	=rn_pro	1	poss		
arta	disubu	0002	#	#	##	##				
arta	disubu	0002	pang-a:n-èn	NF-eat-PV	np:pred	np		pred		
arta	disubu	0002	=tam	=1+2PL.GEN	=rn_pro.1:poss	=rn_pro	1	poss		
arta	disubu	0002	0	0_yam	0:s_np	0		s_np		
arta	disubu	0002	ta	OBL	ln	ln				
arta	disubu	0002	ayta	DIST.OBL	ln	ln				
arta	disubu	0002	Disubu	Disubu	pn_np:l	pn_np		l		
arta	disubu	0002	aydi:ti	before	other	other				
arta	disubu	0003	#	#	##	##				
arta	disubu	0003	Ayde:=	and=	=other	=other				
arta	disubu	0003	tidi	PL.DEF	ln	ln				
arta	disubu	0003	wa	PLH	ln	ln				
arta	disubu	0003	=y	=SPC	=ln	=ln				
arta	disubu	0003	giwat	root.crop	np:pred	np		pred		
arta	disubu	0004	ippét	kind.of.root.crop	np:other	np		other		
arta	disubu	0005	#	#	##	##				
arta	disubu	0005	Saya	DIST	dem_pro:p_u	dem_pro		p_u		
arta	disubu	0005	pang-a:n-èn	NF-eat-PV	vother:pred	vother		pred		
arta	disubu	0005	=mi	=1PL.GEN	=pro.1:a_u	=pro	1	a_u		
arta	disubu	0005	ta	OBL	ln	ln				
arta	disubu	0005	ayta	OBL.DIST	ln	ln				
arta	disubu	0005	Disubu	Disubu	pn_np:l	pn_np		l		
arta	disubu	0005	aydi:ti	before	other	other				
arta	disubu	0006	#	#	##	##				
arta	disubu	0006	#	#	#ac	#ac				
arta	disubu	0006	Amma	if	other	other				
arta	disubu	0006	mam-purab	AV-hunt	v:pred	v		pred		
arta	disubu	0006	tidi	PL.DEF	ln	ln				
arta	disubu	0006	ama	father	np.h:s_a	np	h	s_a		
arta	disubu	0006	=mi	=1PL.GEN	=rn_pro.1:poss	=rn_pro	1	poss		
arta	disubu	0006	=ti	=SPC	=rn	=rn				
arta	disubu	0007	alallayan	parent	np.h:appos	np	h	appos		
arta	disubu	0007	=mi	=1PL.GEN	=rn_pro.1:poss	=rn_pro	1	poss		
arta	disubu	0008	%	%	%	%				
arta	disubu	0008	ngay	go	lv	lv				
arta	disubu	0008	=tid	=3PL	=pro.h:other	=pro	h	other		
arta	disubu	0008	ngay	go	lv	lv				
arta	disubu	0008	=tid	=3PL	=pro.h:s_a	=pro	h	s_a		
