corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	reflex
arta	husband	0001	#	#	##	##				
arta	husband	0001	Asawa	husband	np.h:s_other	np	h	s_other		
arta	husband	0001	=ku	=1SG.GEN	=rn_pro.1:poss	=rn_pro	1	poss		
arta	husband	0001	=ti	=SPC	=rn	=rn				
arta	husband	0001	awan	NEG	other	other				
arta	husband	0001	=kurug	=really	=other	=other				
arta	husband	0001	a	LIG	other	other				
arta	husband	0001	meddingatu	ADJ-tall	ap_other:pred	ap_other		pred		
arta	husband	0001	#	#	##	##				
arta	husband	0001	0	0	0.h:s_other	0	h	s_other		
arta	husband	0001	apitti	short	ap_other:pred	ap_other		pred		
arta	husband	0001	=te	=only	=other	=other				
arta	husband	0002	#	#	##	##				
arta	husband	0002	Sakay	and	other	other				
arta	husband	0002	abi:	body	np:s_other	np		s_other		
arta	husband	0002	=na	=3SG.GEN	=rn_pro.h:poss	=rn_pro	h	poss		
arta	husband	0002	=y	=SPC	=rn	=rn				
arta	husband	0002	merra:pis	ADJ-thin	ap_other:pred	ap_other		pred		
arta	husband	0002	=te	=only	=other	=other				
arta	husband	0002	#	#	##	##				
arta	husband	0002	0	0	0.h:s_other	0	h	s_other		
arta	husband	0002	killèk	small	ap_other:pred	ap_other		pred		
arta	husband	0002	=te	=only	=other	=other				
arta	husband	0003	#	#	##	##				
arta	husband	0003	0	0	0.h:s_other	0	h	s_other		
arta	husband	0003	Awan	NEG	other	other				
arta	husband	0003	ka:man	big	ap_other:pred	ap_other		pred		
arta	husband	0004	#	#	##	##				
arta	husband	0004	0	0	0.h:s_other	0	h	s_other		
arta	husband	0004	Apitti	short	ap_other:pred	ap_other		pred		
arta	husband	0004	=te	=only	=other	=other				
arta	husband	0005	#	#	#nc	#nc				
arta	husband	0005	Ninta	PST.TR-see	nc	nc				
arta	husband	0005	=mu	=2SG.GEN	nc	nc				
arta	husband	0005	ti	PSN	nc	nc				
arta	husband	0005	Ma:ni	Mani	nc	nc				
arta	husband	0005	#	#	##	##				
arta	husband	0005	0	0	0.h:s_other	0	h	s_other		
arta	husband	0005	munata	like.that	ap_other:pred	ap_other		pred		
arta	husband	0006	ka:pi:rit	NMZ-short	np:s_other	np		s_other		
arta	husband	0006	=na	=3SG.GEN	=rn_pro.h:poss	=rn_pro	h	poss		
arta	husband	0007	#	#	##	##				
arta	husband	0007	0	0	0.h:s_other	0	h	s_other		
arta	husband	0007	Konta	but	other	other				
arta	husband	0007	ta	OBL	ln	ln				
arta	husband	0007	abi:	body	np:dt_s	np		dt_s		
arta	husband	0007	=na	=3SG.GEN	=rn_pro.h:poss	=rn_pro	h	poss		
arta	husband	0007	killèk	small	ap_other:pred	ap_other		pred		
arta	husband	0007	=te	=only	=other	=other				
arta	husband	0008	#	#	#nc	#nc				
arta	husband	0008	Ayte	and.here	nc	nc				
arta	husband	0008	ka:man	big	nc	nc				
arta	husband	0008	i	DEF	nc	nc				
arta	husband	0008	tiyan	belly	nc	nc				
arta	husband	0008	=na	=3SG.GEN	nc	nc				
arta	husband	0008	=y	=SPC	nc	nc				
arta	husband	0009	#	#	##	##				
arta	husband	0009	#	#	#ac	#ac				
arta	husband	0009	0	0	0.1:a_a	0	1	a_a		
arta	husband	0009	Amma	if	other	other				
arta	husband	0009	mattim	INTR-drink	v:pred	v		pred		
arta	husband	0009	ta	OBL	ln	ln				
arta	husband	0009	binara:yan	wine	np:p_a	np		p_a		
arta	husband	0009	%	%	%	%				
arta	husband	0009	maski	even	other	other				
arta	husband	0009	ta	OBL	ln	ln				
arta	husband	0009	daddiman	path	np:dt_p	np		dt_p		
arta	husband	0009	o:gipan	lie.down-LV	v:pred	v		pred		
arta	husband	0009	=mi	=1PL.GEN	=pro.1:a_u	=pro	1	a_u		
arta	husband	0009	tadde:	only	other	other				
arta	husband	0009	=ta	=DIST.OBL	=dem_pro:p_u	=dem_pro		p_u		
arta	husband	0010	#	#	##	##				
arta	husband	0010	To:top	companion	np:pred	np		pred		
arta	husband	0010	=mi	=1PL.GEN	=rn_pro.1:poss	=rn_pro	1	poss		
arta	husband	0010	=te:	=only	=rn	=rn				
arta	husband	0010	ti	PSN	ln	ln				
arta	husband	0010	Ma:ni	Mani	np.h:s_np	np	h	s_np		
arta	husband	0010	ta	OBL	ln	ln				
arta	husband	0010	kakkillèk	babyhood	np:other	np		other		
arta	husband	0010	=na	=3SG.GEN	=rn_pro.h:poss	=rn_pro	h	poss		
arta	husband	0011	#	#	##neg	##neg				
arta	husband	0011	awan	NEG	other:predex	other		predex		
arta	husband	0011	=ami	=1PL.GEN	=pro.1:s_other	=pro	1	s_other		
arta	husband	0011	ta	OBL	ln	ln				
arta	husband	0011	to:top	companion	np:obl	np		obl		
arta	husband	0011	#	#	#	#				
arta	husband	0011	Basta	just	other	other				
arta	husband	0011	maddagsu	INTR-lie.down	v:pred	v		pred		
arta	husband	0011	=ami	=1PL.ABS	=pro.1:s_a	=pro	1	s_a		
arta	husband	0012	#	#	##	##				
arta	husband	0012	Manguwa	INTR-PLH	v:pred	v		pred		
arta	husband	0012	=tadde:	=only	=rv	=rv				
arta	husband	0012	=tèn	=1SG.ABS	=pro.1:a_a	=pro	1	a_a		
arta	husband	0012	ta	OB	ln	ln				
arta	husband	0012	ulès	blanket	np:p_a	np		p_a		
arta	husband	0013	#	#	#nc	#nc				
arta	husband	0013	Saya	DEM.DIST	nc	nc				
arta	husband	0013	#	#	#rc	#rc				
arta	husband	0013	0	0	f0:p_u	f0		p_u		
arta	husband	0013	gimit-èn	do-TR	v:pred	v		pred		
arta	husband	0013	=u	=1SG.ABS	=pro.1:a_u	=pro	1	a_u		
arta	husband	0013	%	%	%	%				
arta	husband	0013	a	LIG	other	other				
arta	husband	0013	bunbun	house	np:pred	np		pred		
arta	husband	0013	=mi	=1PL.GEN	=rn_pro.1:poss	=rn_pro	1	poss		
arta	husband	0013	#	#	#ac	#ac				
arta	husband	0013	Take:ta	so.that	nc	nc				
arta	husband	0013	mal-linu:nu:ng	INTR-nc	nc	nc				
arta	husband	0013	=ami	=1PL.ABS	nc	nc				
arta	husband	0014	#	#	##	##				
arta	husband	0014	Ma	if	other	other				
arta	husband	0014	ta	OBL	ln	ln				
arta	husband	0014	damadmang	morning	np:other	np		other		
arta	husband	0014	mad-dima	INTR-go.back	v:pred	v		pred		
arta	husband	0014	=ami	=1PL	=pro.1:s_a	=pro	1	s_a		
arta	husband	0014	=d	=POST	=rv	=rv				
arta	husband	0014	=mandi	=again	=rv	=rv				
arta	husband	0015	#	#	##	##				
arta	husband	0015	Abbi:t-èn	carry-TR	v:pred	v		pred		
arta	husband	0015	=na	=3SG.GEN	=pro.h:a_u	=pro	h	a_u		
arta	husband	0015	=d	=POST	=rv	=rv				
arta	husband	0015	=mandi	=again	=rv	=rv				
arta	husband	0015	ti	PSN	ln	ln				
arta	husband	0015	Ma:ni	Mani	np.h:p_u	np	h	p_u		
arta	husband	0015	#	#	#ac.neg	#ac.neg				
arta	husband	0015	0	0	0.h:p_up	0	h	p_up		
arta	husband	0015	da	because	other	other				
arta	husband	0015	awan	NEG	other	other				
arta	husband	0015	=ku	=1SG.GEN	=pro.1:a_up	=pro	1	a_up		
arta	husband	0015	ma-abbit	POT-carry.with.cloth	v:pred	v		pred		
arta	husband	0016	#	#	##	##				
arta	husband	0016	Mad-dima	INTR-go.back	v:pred	v		pred		
arta	husband	0016	=ami	=1PL.ABS	=pro.1:s_a	=pro	1	s_a		
arta	husband	0016	=d	=POST	=rv	=rv				
arta	husband	0016	=mandi	=again	=rv	=rv				
arta	husband	0017	#	#	##	##				
arta	husband	0017	#	#	#ac	#ac				
arta	husband	0017	Ma	if	other	other				
arta	husband	0017	maka-ita	POT-see	v:pred	v		pred		
arta	husband	0017	=d	=POST	=rv	=rv				
arta	husband	0017	=man	=CONTR	=rv	=rv				
arta	husband	0017	=tèn	=1SG.ABS	=pro.1:s_ap	=pro	1	s_ap		
