corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	reflex
arta	marry	0001	NC	NC	nc	nc				
arta	marry	0002	#	#	#nc	#nc				
arta	marry	0002	Aytay	now	nc	nc				
arta	marry	0002	amma	if	nc	nc				
arta	marry	0002	ta	OBL	nc	nc				
arta	marry	0002	Arta	Arta	nc	nc				
arta	marry	0002	muna=taw	like=2SG	nc	nc				
arta	marry	0003	tidi	PL.DEF	nc	nc				
arta	marry	0003	daddu:pu:	old.men	nc	nc				
arta	marry	0003	=i	=SPC	nc	nc				
arta	marry	0003	na	GEN	nc	nc				
arta	marry	0003	arta	Arta	nc	nc				
arta	marry	0004	NC	NC	nc	nc				
arta	marry	0005	#	#	##ds	##ds				
arta	marry	0005	Mepeppiya	ADJ-good	ap_other:pred	ap_other		pred		
arta	marry	0005	#	#	#rc:s_other	#rc		s_other		
arta	marry	0005	0	0	f0:p_u	f0		p_u		
arta	marry	0005	i	DEF	ln	ln				
arta	marry	0005	gimtèn	do-TR	v:pred	v		pred		
arta	marry	0005	=muyu	=2PL.GEN	=pro.2:a_u	=pro	2	a_u		
arta	marry	0005	#	#	#ds_ac	#ds_ac				
arta	marry	0005	amma	if	other	other				
arta	marry	0005	tam	2PL	pro.2:s_a	pro	2	s_a		
arta	marry	0005	a	LIG	ln	ln				
arta	marry	0005	passa:sawa	married.couple	np.h:appos	np	h	appos		
arta	marry	0005	i	DEF	other	other				
arta	marry	0005	mangib-bub-bu:lun	RCP-RDP-be.together	v:pred	v		pred		
arta	marry	0006	#	#	##ds	##ds				
arta	marry	0006	Aydi:	and	other	other				
arta	marry	0006	pi:pi-an	good-LV	v:pred	v		pred		
arta	marry	0006	=muyu	=2PL.GEN	=pro.2:a_u	=pro	2	a_u		
arta	marry	0006	i	DEF	ln	ln				
arta	marry	0006	pangi:top	NMZ-CV-companion	np:p_u	np		p_u		
arta	marry	0006	=muyu	=2PL.GEN	=rn_pro.2:poss	=rn_pro	2	poss		
arta	marry	0006	#	#	##ds.neg	##ds.neg				
arta	marry	0006	awan	NEG	other	other				
arta	marry	0006	=am	=2PL.ABS	=pro.2:s_a	=pro	2	s_a		
arta	marry	0006	mangis-subè-subèg	RCP-RDP-anger	v:pred	v		pred		
arta	marry	0007	#	#	##ds.neg	##ds.neg				
arta	marry	0007	Awan	NEG	other	other				
arta	marry	0007	=mu	=2SG.GEN	=pro.2:a_u	=pro	2	a_u		
arta	marry	0007	gina-ginan-an	RDP-leave-LV	v:pred	v		pred		
arta	marry	0007	asawa	spouse	np.h:p_u	np	h	p_u		
arta	marry	0007	=mu	=2SG.GEN	=rn_pro.2:poss	=rn_pro	2	poss		
arta	marry	0007	=y	=SPC	=rn	=rn				
arta	marry	0008	#	#	#ds	#ds				
