corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
arta	swateng	0001	#	#	#nc	#nc				
arta	swateng	0001	Historia	story	nc	nc				
arta	swateng	0001	na	GEN	nc	nc				
arta	swateng	0001	Sanuwa:tèng	Sanuwa:tèng	nc	nc				
arta	swateng	0002	Historia-n	tell-TR	nc	nc				
arta	swateng	0002	=ku	=1SG.GEN	nc	nc				
arta	swateng	0003	Akkari:	oh	nc	nc				
arta	swateng	0003	ka:-kabbat	RDP-want	nc	nc				
arta	swateng	0003	=mu	=2SG.GEN	=nc_pro.2	=nc_pro	2			
arta	swateng	0003	=wada	=probably	nc	nc				
arta	swateng	0003	ti	PSN	nc	nc				
arta	swateng	0003	Sanuwa:tèng	Sanuwa:tèng	nc_np.h	nc_np	h			
arta	swateng	0004	Sanuwa:tèng	Sanuwa:tèng	nc	nc				
arta	swateng	0004	historia	story	nc	nc				
arta	swateng	0004	na	GEN	nc	nc				
arta	swateng	0004	ayya	DIST	nc	nc				
arta	swateng	0004	ti	PSN	nc	nc				
arta	swateng	0004	Sanuwa:tèng	Sanuwa:tèng	nc	nc				
arta	swateng	0005	#	#	##	##				
arta	swateng	0005	Atti:	exist	other:pred	other		pred		
arta	swateng	0005	=tid	=3PL.ABS	=pro.h:a_a	=pro	h	a_a		
arta	swateng	0005	ti	PSN	ln	ln				
arta	swateng	0005	ayti	PROX.OBL	ln	ln				
arta	swateng	0005	bukid	mountain	np:p_a	np		p_a		
arta	swateng	0005	=i	=SPC	=rn	=rn				
arta	swateng	0005	Sanuwa:tèng	Sanuwa:tèng	np.h:appos	np	h	appos		
arta	swateng	0006	#	#	##	##				
arta	swateng	0006	Aytay	now	other	other				
arta	swateng	0006	atti:	exist	other:predex	other		predex		
arta	swateng	0006	buka:gan	woman	np.h:s_other	np	h	s_other		
arta	swateng	0006	a	LIG	rn	rn				
arta	swateng	0007	a:nu	what	nc	nc				
arta	swateng	0007	piya:he	NC	nc	nc				
arta	swateng	0007	panga:dinan	NF-name-LV	nc	nc				
arta	swateng	0007	=di	=3PL.GEN	nc	nc				
arta	swateng	0007	ti	OBL.DEF	nc	nc				
arta	swateng	0007	pang-a:sawa-n	NF-spouse-TR	np:other	np		other		
arta	swateng	0007	=na	=3SG.GEN	=rn_pro.h:poss	=rn_pro	h	poss		
arta	swateng	0007	=y	=SPC	=rn	=rn				
arta	swateng	0008	#	#	##	##				
arta	swateng	0008	Atti:	exist	other:pred	other		pred		
arta	swateng	0008	buka:gan	woman	np.h:a_a	np	h	a_a		
arta	swateng	0008	=i	=SPC	=rn	=rn				
arta	swateng	0008	ta	OBL	ln	ln				
arta	swateng	0008	ayta	DIST.OBL	ln	ln				
arta	swateng	0008	dilod	downriver	np:p_a	np		p_a		
arta	swateng	0009	#	#	##	##				
arta	swateng	0009	Atti:	exist	other:pred	other		pred		
arta	swateng	0009	ti	PSN	ln	ln				
arta	swateng	0009	Sanuwa:tèng	Sanuwa:tèng	np.h:a_a	np	h	a_a		
arta	swateng	0009	ti	PSN OBL.DEF	ln	ln				
arta	swateng	0009	bukid	mountain	np:p_a	np		p_a		
arta	swateng	0009	=i	=SPC	=rn	=rn				
arta	swateng	0010	#	#	##	##				
arta	swateng	0010	Punan	like	v:pred	v		pred		
arta	swateng	0010	=na	=3SG.GEN	=pro.h:s_ds	=pro	h	s_ds		
arta	swateng	0010	ti	OBL.DEF	ln	ln				
arta	swateng	0010	buka:gan	woman	np.h:g	np	h	g		
arta	swateng	0010	=i	=SPC	=rn	=rn				
arta	swateng	0010	#	#	#ds	#ds				
arta	swateng	0010	Ma-tagi:	INTR-remain	v:pred	v		pred		
arta	swateng	0010	=pa	=for.a.while	=rv	=rv				
arta	swateng	0010	=taw	=2SG.ABS	=pro.2:a_a	=pro	2	a_a		
arta	swateng	0010	ti	OBL.DEF	ln	ln				
arta	swateng	0010	ayti	PROX.OBL	ln	ln				
arta	swateng	0010	ti	OBL.DEF	ln	ln				
arta	swateng	0010	ina	mother	np.h:p_a	np	h	p_a		
arta	swateng	0010	=mu	=2SG.GEN	=rn_pro.2:poss	=rn_pro	2	poss		
arta	swateng	0010	=y	=SPC	=rn	=rn				
arta	swateng	0010	aydi:	and	rn	rn				
arta	swateng	0010	ama	ama	rn	rn				
arta	swateng	0010	=mu	=2SG.GEN	=rn	=rn				
arta	swateng	0010	=y	=SPC	=rn	=rn				
arta	swateng	0010	#	#	#ac	#ac				
arta	swateng	0010	da	because	other	other				
arta	swateng	0010	um-angay	INTR-go	v:pred	v		pred		
arta	swateng	0010	=tèn	=1SG.ABS	=pro.1:a_a	=pro	1	a_a		
arta	swateng	0010	ta	OBL	ln	ln				
arta	swateng	0010	ayta	DIST.OBL	dem_pro:p_a	dem_pro		p_a		
arta	swateng	0011	#	#	##ds	##ds				
arta	swateng	0011	#	#	#ds_ac	#ds_ac				
arta	swateng	0011	Amma	if	other	other				
arta	swateng	0011	mas-so:li	INTR-return	v:pred	v		pred		
arta	swateng	0011	=tèn	=1SG.ABS	=pro.1:a_a	=pro	1	a_a		
arta	swateng	0011	ti	PSN OBL.DEF	ln	ln				
arta	swateng	0011	ayti	PROX.OBL	dem_pro:p_a	dem_pro		p_a		
arta	swateng	0011	%	%	%	%				
arta	swateng	0011	mangib-bo:da	INTR.RCP-wedding.feast	v:pred	v		pred		
arta	swateng	0011	=ita	=1+2SG.ABS	=pro.1:s_a	=pro	1	s_a		
arta	swateng	0011	=d	=POST	=rv	=rv				
arta	swateng	0011	#	#	##	##				
arta	swateng	0011	Punan	like	v:pred	v		pred		
arta	swateng	0011	=di	=3PL.GEN	=rv	=rv				
arta	swateng	0011	Sanuwa:tèng	Sanuwa:tèng	np.h:s_ds	np	h	s_ds		
arta	swateng	0012	#	#	##	##				
arta	swateng	0012	aydi:	and	other	other				
arta	swateng	0012	n-um-angay	PST-INTR-go	v:pred	v		pred		
arta	swateng	0012	=de:	=POST	=rv	=rv				
arta	swateng	0012	ti	PSN	ln	ln				
arta	swateng	0012	Sanuwa:tèng	Sanuwa:tèng	np.h:a_a	np	h	a_a		
arta	swateng	0012	ti	PSN OBL.DEF	ln	ln				
arta	swateng	0012	bukid	mountain	np:p_a	np		p_a		
arta	swateng	0012	=i	=SPC	=rn	=rn				
arta	swateng	0013	#	#	##	##				
arta	swateng	0013	Ma	if	other	other				
arta	swateng	0013	appat	four	other	other				
arta	swateng	0013	a	LIG	other	other				
arta	swateng	0013	dagun	year	other	other				
arta	swateng	0013	ba:gu	before	other	other				
arta	swateng	0013	in-um-angay	PST-INTR-go	v:pred	v		pred		
arta	swateng	0013	ti	PSN	ln	ln				
arta	swateng	0013	Sanuwa:tèng	Sanuwa:tèng	np.h:a_a	np	h	a_a		
arta	swateng	0013	ti	PSN	ln	ln				
arta	swateng	0013	buka:gan	woman	np.h:p_a	np	h	p_a		
arta	swateng	0013	=i	=SPC	=rn	=rn				
arta	swateng	0013	a	LIG	rn	rn				
arta	swateng	0013	asawa	spouse	rn_np.h	rn_np	h			
arta	swateng	0013	=na	=3SG.GEN	=rn	=rn				
arta	swateng	0013	#	#	#	#				
arta	swateng	0013	0	0	0.h:p_u	0	h	p_u		
arta	swateng	0013	pang-a:sa-asawa-n	NF-RDP-spouse-TR	v:pred	v		pred		
arta	swateng	0013	=na	=3SG.GEN	=pro.h:a_u	=pro	h	a_u		
arta	swateng	0014	#	#	##	##				
arta	swateng	0014	#	#	#ac	#ac				
arta	swateng	0014	gahu	since	other	other				
arta	swateng	0014	ta	OBL	other	other				
arta	swateng	0014	nabayag	PST.INTR-long	v:pred	v		pred		
arta	swateng	0014	=di	=POST	=rv	=rv				
arta	swateng	0014	ti	PSN	ln	ln				
arta	swateng	0014	Sanuwa:tèng	Sanuwa:tèng	np.h:s_a	np	h	s_a		
arta	swateng	0014	#	#	#ac.neg	#ac.neg				
arta	swateng	0014	0	0	0.h:s_a	0	h	s_a		
arta	swateng	0014	awan	NEG	other	other				
arta	swateng	0014	n-um-anga-angay	PST-INTR-RDP-go	v:pred	v		pred		
arta	swateng	0014	ti	PSN	ln	ln				
arta	swateng	0014	buka:gan	woman	np.h:g	np	h	g		
