corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	reflex
arta	typhoon	0001	#	#	##	##				
arta	typhoon	0001	Ay	NC	nc	nc				
arta	typhoon	0001	bagio	NC	nc	nc				
arta	typhoon	0001	=ti	=NC	nc	nc				
arta	typhoon	0001	a	NC	nc	nc				
arta	typhoon	0001	0	0	0:p_u	0		p_u		
arta	typhoon	0001	Pang-a:din-an	NF-name-LV	v:pred	v		pred		
arta	typhoon	0001	=mi	=1PL.GEN	=pro.1:a_u	=pro	1	a_u		
arta	typhoon	0001	ta	OBL	ln	ln				
arta	typhoon	0001	labu:yu	typhoon.name	np:obl_u	np		obl_u		
arta	typhoon	0002	#	#	##	##				
arta	typhoon	0002	na-rugi	PST.POT-begin	v:pred	v		pred		
arta	typhoon	0002	ta	OBL	ln	ln				
arta	typhoon	0002	alas	o'clock	ln	ln				
arta	typhoon	0002	dus	two	np:other	np		other		
arta	typhoon	0002	i	DEF	ln	ln				
arta	typhoon	0002	digsén	strength	np:s_up	np		s_up		
arta	typhoon	0002	na	GEN	rn	rn				
arta	typhoon	0002	bagio	typhoon	rn_np:poss	rn_np		poss		
arta	typhoon	0003	NC	nc	nc	nc				
arta	typhoon	0004	#	#	#nc	#nc				
arta	typhoon	0004	awan	NEG	nc	nc				
arta	typhoon	0004	=ami	=1PL.ABS	nc	nc				
arta	typhoon	0004	=d	=POST	nc	nc				
arta	typhoon	0004	#	#	##neg	##neg				
arta	typhoon	0004	awan	NEG	other	other				
arta	typhoon	0004	=mi	=1PL.GEN	=pro:a_u	=pro		a_u		
arta	typhoon	0004	=d	=POST	=other	=other				
arta	typhoon	0004	ta:tataw	know	v:pred	v		pred		
arta	typhoon	0004	#	#	#rc:p_u	#rc		p_u		
arta	typhoon	0004	0	0	f0:p_u	f0		p_u		
arta	typhoon	0004	i	DEF	ln	ln				
arta	typhoon	0004	e:n-an	go-LV	v:pred	v		pred		
arta	typhoon	0004	=mi	=1PL.GEN	=pro.1:a_u	=pro	1	a_u		
arta	typhoon	0004	#	#	#ac	#ac				
arta	typhoon	0004	da	because	other	other				
arta	typhoon	0004	merer-ringdam	ADJ.RDP-dark	ap_other:pred	ap_other		pred		
arta	typhoon	0004	=di	=POST	=other	=other				
arta	typhoon	0004	talun	mountain	np:s_other	np		s_other		
arta	typhoon	0005	#	#	##	##				
arta	typhoon	0005	meded-digsén	ADJ.RDP-strong	ap_other:pred	ap_other		pred		
arta	typhoon	0005	i	DEF	ln	ln				
arta	typhoon	0005	pu:néd	rain	np:s_other	np		s_other		
arta	typhoon	0005	#	#	##	##				
arta	typhoon	0005	med-digén	ADJ-strong	ap_other:pred	ap_other		pred		
arta	typhoon	0005	i	DEF	ln	ln				
arta	typhoon	0005	bégbég	wind	np:s_other	np		s_other		
arta	typhoon	0006	#	#	##neg	##neg				
arta	typhoon	0006	Awan	NEG	other	other				
arta	typhoon	0006	=mi	=1PL.GEN	=pro.1:a_up	=pro	1	a_up		
arta	typhoon	0006	=d	=POST	=other	=other				
arta	typhoon	0006	ma-na:nab	POT.UV-remember	v:pred	v		pred		
arta	typhoon	0006	#	#	#cc:p_up	#cc		p_up		
arta	typhoon	0006	a	LIG	other	other				
arta	typhoon	0006	m-angay	AV-go	v:pred	v		pred		
arta	typhoon	0006	=ami	=1PL.ABS	=pro.1:s_a	=pro	1	s_a		
arta	typhoon	0007	#	#	##	##				
arta	typhoon	0007	Med-digsén	ADJ-strong	ln	ln				
arta	typhoon	0007	a	LIG	ln	ln				
arta	typhoon	0007	pu:néd	rain	np:pred	np		pred		
arta	typhoon	0007	aydi	and	rn	rn				
arta	typhoon	0007	bégbég	wind	rn	rn				
arta	typhoon	0008	#	#	##	##				
arta	typhoon	0008	Basta	just/even	other	other				
arta	typhoon	0008	in-an-'anu:s-an	PST-RDP-tolerate-LV	v:pred	v		pred		
arta	typhoon	0008	=mi	=1PL.GEN	=pro.1:a_u	=pro	1	a_u		
arta	typhoon	0008	=téddi	=only	=other	=other				
arta	typhoon	0008	ay	TOP	ln	ln				
arta	typhoon	0008	ka:man	big	ln	ln				
arta	typhoon	0008	=i	=SPC	=ln	=ln				
arta	typhoon	0008	a	LIG	ln	ln				
arta	typhoon	0008	to:luda	tent	np:p_u	np		p_u		
arta	typhoon	0009	#	#	##	##				
arta	typhoon	0009	#	#	#ac	#ac				
arta	typhoon	0009	Ma	if	other	other				
arta	typhoon	0009	b<um>agbag	<AV>wind	v:pred	v		pred		
arta	typhoon	0009	%	%	%	%				
arta	typhoon	0009	0	0	0:p_u	0		p_u		
arta	typhoon	0009	iggam-an	hold-LV	v:pred	v		pred		
arta	typhoon	0009	=mi	=1PL.GEN	=pro.1:a_u	=pro	1	a_u		
arta	typhoon	0010	#	#	##	##				
