corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	reflex
arta	udulan	0001	#	#	##	##				
arta	udulan	0001	istoria	story	np:predex	np		predex		
arta	udulan	0001	=na	=3SG.GEN	=rn_pro.h:poss	=rn_pro	h	poss		
arta	udulan	0001	ay	TOP	ln	ln				
arta	udulan	0001	taga-Danak	from-Danak	ln	ln				
arta	udulan	0001	a	LIG	ln	ln				
arta	udulan	0001	gilèngan	male	np.h:dt_poss	np	h	dt_poss		
arta	udulan	0002	Udulan	Udulan	np.h:appos	np	h	appos		
arta	udulan	0003	#	#	##	##				
arta	udulan	0003	Ni-pangal	PST.CV-arrow	v:pred	v		pred		
arta	udulan	0003	=na	=3SG.GEN	=pro.h:a_u	=pro	h	a_u		
arta	udulan	0003	ay	TOP	ln	ln				
arta	udulan	0003	pangal	arrow	np:p_u	np		p_u		
arta	udulan	0003	=na	=3SG.GEN	=rn_pro.h:poss	=rn_pro	h	poss		
arta	udulan	0003	=y	=SPC	=other	=other				
arta	udulan	0004	#	#	##	##				
arta	udulan	0004	0	0	0:a_a	0		a_a		
arta	udulan	0004	n-um-angay	PST-INTR-go	v:pred	v		pred		
arta	udulan	0004	ta	OBL	ln	ln				
arta	udulan	0004	ayta	there	ln	ln				
arta	udulan	0004	Sabing	Sabing	np:p_a	np		p_a		
arta	udulan	0005	#	#	##	##				
arta	udulan	0005	0	0	0:a_a	0		a_a		
arta	udulan	0005	n-um-angay	PST-INTR-go	v:pred	v		pred		
arta	udulan	0005	minumi:	NC	nc	nc				
arta	udulan	0005	madit	unmarried.female	np.h:p_a	np	h	p_a		
arta	udulan	0005	=i	=SPC	=other	=other				
arta	udulan	0006	Taga-Sabing	from-Sabing	other	other				
arta	udulan	0007	#	#	##	##				
arta	udulan	0007	ay	TOP	ln	ln				
arta	udulan	0007	pangal	arrow	np:dt_s	np		dt_s		
arta	udulan	0007	ni	GEN.DEF	rn	rn				
arta	udulan	0007	Udulan	Udulan	rn_np.h:poss	rn_np	h	poss		
arta	udulan	0007	=i	=SPC	=other	=other				
arta	udulan	0007	a	LIG	other	other				
arta	udulan	0007	atti:	exist	other:predex	other		predex		
arta	udulan	0007	0	0	0:s_other	0		s_other		
arta	udulan	0007	ta	OBL	ln	ln				
arta	udulan	0007	Danak	Danak	np:l	np		l		
arta	udulan	0008	#	#	##	##				
arta	udulan	0008	#	#	#	#				
arta	udulan	0008	Aytay	now	other	other				
arta	udulan	0008	na-bayag	PST.INTR-long.time	v:pred	v		pred		
arta	udulan	0008	a	LIG	other	other				
arta	udulan	0008	o:ras	time	np:other	np		other		
arta	udulan	0008	aydi	and	other	other				
arta	udulan	0008	bulan	month	np:other	np		other		
arta	udulan	0008	%	%	%	%				
arta	udulan	0009	Nang-a:na:	PST.INTR-child	v:pred	v		pred		
arta	udulan	0009	=di	=POST	=rv	=rv				
arta	udulan	0009	gilangan	male	np.h:s_a	np	h	s_a		
arta	udulan	0009	=i	=SPC	=other	=other				
arta	udulan	0009	#	#	##	##				
arta	udulan	0009	0	0	0.h:s_other	0	h	s_other		
arta	udulan	0009	Ay	TOP	other	other				
arta	udulan	0009	atti:	exist	other:predex	other		predex		
arta	udulan	0009	=tep	=ANT	=other	=other				
arta	udulan	0009	=ta	=DIST.OBL	=dem_pro:l	=dem_pro		l		
arta	udulan	0009	#	#	##	##				
arta	udulan	0009	Ay	TOP	other	other				
arta	udulan	0009	buka:gan	female	np.h:pred	np	h	pred		
arta	udulan	0009	#	#	#rc:s_np	#rc		s_np		
arta	udulan	0009	0	0	f0.h:s_a	f0	h	s_a		
arta	udulan	0009	nang-a:na:	PST.INTR-child	v:pred	v		pred		
arta	udulan	0009	=di	=3PL.GEN	=other	=other				
arta	udulan	0010	#	#	##	##				
arta	udulan	0010	Nang-a:na:	PST.INTR-child	v:pred	v		pred		
arta	udulan	0010	=di	=3PL.GEN	=other	=other				
arta	udulan	0010	buka:gan	female	np.h:s_a	np	h	s_a		
arta	udulan	0010	=i	=SPC	=other	=other				
arta	udulan	0010	ayta	there	ln	ln				
arta	udulan	0010	Sabing	Sabing	np:other	np		other		
arta	udulan	0011	#	#	##	##				
