ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Media_IDs,Position,Audio_Start,Audio_End,graid,add_orthography,Text_ID
alisiya_0001,mcarta,"Atti: mi ti ta Alicia, nanguma ami ta melellayat a uma mi.",#	#	Atti:	=mi	=ti	ta	Alicia	%	nang-uma	=ami	ta	melel-layat	a	uma	=mi,#	#	exist	=1PL.GEN	=SPC	OBL	Alicia	%	PST.AV-field	=1PL	OBL	ADJ.RDP-wide	LIG	field	=1PL.GEN,"When we were in Alisiya, we (used to) cultivate our large fields.",en,MORPHEME_ALIGNED,,lisiya_mp3 lisiya_wav lisiya_eaf lisiya_xml lisiya_tsv,,1000,8630,##	#ac	other:pred	=pro.1:s_other	=other	ln	np:l	%	v:pred	=pro.1:a_a	ln	ln	ln	np:p_a	=rn_pro.1:poss,,alisiya
alisiya_0002,mcarta,"Unadda, nangay ami ti amaku, nanginsun, nantangad i langit,",#	#	Unadda	n-angay	=ami	ti	ama	=ku	nang-insun	%	#	nan-tanga	=d	i	langit,#	#	after	PST-go	=1PL	PSN	father	=1SG.GEN	PST.AV-weed	%	#	PST.AV-middle	=POST	DEF	day,"While we (including) my father went to weed and it became at noon,",en,MORPHEME_ALIGNED,"ti ama=ku is an appositive subject NP, indicating a salient member of the referents. Literally 'We, including my fathers', meaning 'My fathers and others'.",lisiya_mp3 lisiya_wav lisiya_eaf lisiya_xml lisiya_tsv,,9475,16795,##	#ac	other	other	=pro.1:s_a	ln	np.h:appos	=rn_pro.1:poss	v:pred	%	#ac	v:pred	=rv	ln	np:s_a,,alisiya
alisiya_0003,mcarta,"tittutttud tèn ti way bubbuntun. Numangay tèn tinumuttud ti buntuni, pa:nginsun ti amaku.",%	tit-tutttud	=tèn	ti	wa	=y	bub-buntun	#	n-um-angay	=tèn	t<in><um>uttud	ti	buntun	=i	#	pa:ng-insun	ti	ama	=ku,%	STV.AV-sit	=1SG	OBL.DEF	PLH	=SPC	PL-anthill	#	PST-AV-go	=1SG	<PST><AV>sit	OBL.DEF	anthill	=SPC	#	NF.AV-weed	PSN	father	=1SG.GEN,"I was sitting on the anthill. I went to sit down on the hill, while my father was weeding.",en,MORPHEME_ALIGNED,,lisiya_mp3 lisiya_wav lisiya_eaf lisiya_xml lisiya_tsv,,17705,25330,%	v:pred	=pro.1:a_a	ln	nc	nc	np:p_a	##	other	=pro.1:a_a	v:pred	ln	np:p_a	=rn	#ac	v:pred	ln	np.h:s_a	=rn_pro.1:poss,,alisiya
alisiya_0004,mcarta,"Nasungdu nanginsun ti amaku, ta malu:tèp, dinumigdig ami, napaditèng de: tèn.",#	na-sungdu	#	nang-insun	ti	ama	=ku	ta	malu:tèp	#	d<in><um>igdig	=ami	#	na-paditèng	=de:	=tèn,#	PST.AV-finish	#	PST.AV-weed	PSN	father	=1SG.GEN	OBL	afternoon	#	<PST><AV>arrive	=1PL	#	PST.AV-disease	=POST	=1SG,"After my father finished weeding in the afternoon, we arrived (home), and I got sick.",en,MORPHEME_ALIGNED,,lisiya_mp3 lisiya_wav lisiya_eaf lisiya_xml lisiya_tsv,,25847,31137,##	v:pred	#cc:s_a	v:pred	ln	np.h:s_a	=rn_pro.1:poss	ln	np:other	##	v:pred	=pro.1:s_a	##	v:pred	=rv	=pro.1:s_a,,alisiya
alisiya_0005,mcarta,"Meddègès i ulu ku y, meddègès i ragaw u y, meddègès i sapang ku y.",#	Med-dègès	i	ulu	=ku	=y	#	med-dègès	i	ragaw	=u	=y	#	med-dègès	i	sapang	=ku	=y,#	ADJ-pain	DEF	head	=1SG.GEN	=SPC	#	ADJ-pain	DEF	chest	=1SG.GEN	=SPC	#	ADJ-pain	DEF	back	=1SG.GEN	=SPC,"My head was painful, my chest was painful, and my back was painful.",en,MORPHEME_ALIGNED,,lisiya_mp3 lisiya_wav lisiya_eaf lisiya_xml lisiya_tsv,,31472,35992,##	other:pred	ln	np:s_other	=rn_pro.1:poss	=rn	##	other:pred	ln	np:s_other	=rn	=rn	##	other:pred	ln	np:s_other	=rn	=rn,,alisiya
alisiya_0006,mcarta,"Ta awan di te: tèn napa:tumatumar di tèn ta ta'lu a biyungèt,",#	#	ta	awan	=di	=te:	=tèn	na-pa:-tuma-tumar	=di	=tèn	ta	ta'lu	a	biyungèt,#	#	since	NEG	=3PL.GEN	=just	=1SG	PST.PV.POT-CAUS-PLRC-take.medicine	=di	=1SG	OBL	ta'lu	LIG	biyungèt,"Since I did not take medicine for three nights,",en,MORPHEME_ALIGNED,,lisiya_mp3 lisiya_wav lisiya_eaf lisiya_xml lisiya_tsv,,36922,43062,##neg	#ac.neg	other	other	=pro.h:a_up	=rv	=pro.1:p_up	v:pred	nc	nc	ln	ln	ln	np:other,,alisiya
alisiya_0007,mcarta,awan te: mapili paditèng u y.,%	awan	=te:	ma-pili	paditèng	=u	=y,%	NEG	=just	POT.PV-remove	disease	=1SG.GEN	=SPC,my disease was not removed.,en,MORPHEME_ALIGNED,,lisiya_mp3 lisiya_wav lisiya_eaf lisiya_xml lisiya_tsv,,43552,45812,%	other	=rv	v:pred	np:s_u	=rn_pro.1:poss	=rn,,alisiya
alisiya_0008,mcarta,"Manga:na ti amaku, ""mangay ita ta ospital yangay ita d ta ni mangantu:law ya ta Echuage.",#	mang-a:na	ti	ama	=ku	#	m-angay	=ita	ta	ospital	#	y-angay	=ita	=d	=ta	ni	mangantu:law	=ya	ta	Echuage,#	AV-say	PSN	father	=1SG.GEN	#	AV-go	=1+2SG	OBL	hospital	#	CV-go	=1+2SG	=POST	=DIST.OBL	PSN.OBL	doctor	=DIST	OBL	Echuage,"My father said: ""we will go to the hospital and I will bring you to the doctor in Echuage.",en,MORPHEME_ALIGNED,,lisiya_mp3 lisiya_wav lisiya_eaf lisiya_xml lisiya_tsv,,46412,52292,##	v:pred	ln	np.h:s_a_ds	=rn_pro.1:poss	##ds	v:pred	=pro.1:a_a	ln	np:p_a	##ds	v:pred	=pro.1:s_u	=rn	=rn	ln	np.h:bpi_obl	=rn	ln	np:other,,alisiya
alisiya_0009,mcarta,"Nyangaydidtènta, nipadoktor.",#	N-y-angay	=di	=d	=tèn	=ta	#	0	0	n-i-pa-doktor,#	PST-CV-go	=3PL.GEN	=POST	=1SG	=DIST.OBL	#	0	0	PST-CV-CAUS-doctor,"They brought me to there, to consult a doctor.",en,MORPHEME_ALIGNED,,lisiya_mp3 lisiya_wav lisiya_eaf lisiya_xml lisiya_tsv,,52812,55142,##	v:pred	=pro.h:a_u	=rn	=pro.1:p_u	=dem_pro:g_u	#	0.h:a_u	0.1:p_u	v:pred,,alisiya
alisiya_0010,mcarta,"Patturkan di ta a:gas ayti tallipi a sapang u, ayti ba:lag ni buli ku y, ayde: ti abaga ku, ayti, tallip a abaga ku.",#	pat-turk-an	=di	ta	a:gas	ayti	tallip	=i	a	sapang	=u	ayti	ba:lag	ni	buli	=ku	=y	ayde:	ti	abaga	=ku	ayti	tallip	a	abaga	=ku,#	NF-inject-LV	=3PL.GEN	OBL	medicine	PROX.OBL	two	=SPC	LIG	back	=1SG.GEN	PROX.OBL	flesh	GEN.DEF	buttocks	=1SG.GEN	=SPC	and	OBL.DEF	upper.arm	=1SG.GEN	PROX.OBL	two	LIG	upper.arm	=1SG.GEN,"They injected medicine into both sides of my back, into the flesh of my buttocks, and both of my upper arms.",en,MORPHEME_ALIGNED,,lisiya_mp3 lisiya_wav lisiya_eaf lisiya_xml lisiya_tsv,,56327,68137,##	v:pred	=pro.h:a_u	ln	np:p_u	ln	ln	=ln	ln	np:g_u	=rn_pro.1:poss	rn	rn	rn	rn	=rn	=rn	rn	rn	rn	=rn	rn	rn	rn	rn	=rn,,alisiya
alisiya_0011,mcarta,"Unaddad, tallip di bulan ku d, mere:re:teg de: tèn a permi. Awan de: ta pu:lupulugdi a:yi:.",#	#	Unadda	=d	tallip	=di	bulan	=ku	=d	%	mere:-re:teg	=de:	=tèn	a	permi	#	Awan	=de:	ta	pu:lu-pulug	=di	a:yi:,#	#	after	=POST	two	=POST	month	=1SG.GEN	=POST	%	ADJ.RDP-thin	=POST	=1SG	LIG	very	#	NEG	=POST	OBL	PL-hair	=POST	PROX,"After two months [lit: my months (were) two], I became very skinny. There was no hair here.",en,MORPHEME_ALIGNED,,lisiya_mp3 lisiya_wav lisiya_eaf lisiya_xml lisiya_tsv,,68856,75996,##	#ac	other	=rv	other:pred	=rv	np:s_other	=rn_pro.1:poss	=rn	%	other:pred	=rv	=pro.1:s_other	other	other	##neg	other:predex	=rv	ln	np:ncs_other	=rn_pro.h:poss	other,,alisiya
alisiya_0012,mcarta,Nangittimbangdi a:yi: awan di ta pulupulug naka:kalbowan di ay kud i.,#	Nangit-timbang	=di	a:yi:	awan	=di	ta	pulu-pulug	#	na-ka:-kalbo-an	=di	ay	kudi,#	PST.RCP-opposite.side	=POST	PROX	NEG	=POST	OBL	PL-hair	#	PST.POT-bald-LV	=POST	TOP	NC,"On both side of this, there was no hair of it,",en,WORD_ALIGNED,,lisiya_mp3 lisiya_wav lisiya_eaf lisiya_xml lisiya_tsv,,76426,81356,##neg	other	=other	other	other:predex	=rv	ln	np:ncs_other	##	v:pred	=rv	ln	np:s_up,,alisiya
alisiya_0013,mcarta,"Manga:na ti amaku, ""Umu:li itam di da awan di mapi:pi:piyanna ay take:ta amma mappati, maka'imantep ta bunbun ya."" Umu:li ami d.",#	mang-a:na	ti	ama	=ku	#	um-u:li	=itam	=di	#	da	awan	=di	ma-pi:-pi:piya-n	=na	ay	#	take:ta	#	0	amma	map-pati	%	0	maka'iman	=tep	ta	bunbun	=ya	#	Um-u:li	=ami	=d,#	AV-say	PSN	father	=1SG.GEN	#	AV-return	=1+2PL	=POST	#	because	NEG	=POST	POT-PLRC-improve-LV	=3SG.GEN	TOP	#	so.that	#	0	if	AV-die	%	0	POT.AV-rest	=still	OBL	house	=DIST	#	AV-return	=1PL	=POST,"My father said ""shall we go home because she has not been cured, and so if she dies, she can have a rest in that house."" We came back home.",en,WORD_ALIGNED,,lisiya_mp3 lisiya_wav lisiya_eaf lisiya_xml lisiya_tsv,,82221,92301,##	v:pred	ln	np.h:s_a_ds	=rn_pro.1:poss	##ds	v:pred	=pro.1:s_a	=rv	#ds_ac.neg	other	other	=rv	v:pred	=pro.h:s_up	other	#ds_ac	other	#ds_ac	0.h:s_a	other	v:pred	%	0.h:a_ap	v:pred	=rv	ln	np:p_ap	=rn	##	v:pred	=pro.1:s_a	=rv,,alisiya
alisiya_0014,mcarta,"Addigdig mi ti bunbunmi, numangayta koma:redi, koma:re ni amaku, koma:re ni inaku.",#	#	Ad-digdig	=mi	ti	bunbun	=mi	%	n-um-angay	=ta	koma:re	=di	koma:re	ni	ama	=ku	koma:re	ni	ina	=ku,#	#	IMMP-arrive	=1PL.GEN	OBL.DEF	house	=1PL.GEN	%	PST-AV-go	=DIST.OBL	neighbor	=3PL.GEN	neighbor	PSN.GEN	father	=1SG.GEN	neighbor	PSN.GEN	mother	=1SG.GEN,"As soon as we came back home, their neighbors came there, that is, my father's neighbors and my mother's neighbors.",en,MORPHEME_ALIGNED,,lisiya_mp3 lisiya_wav lisiya_eaf lisiya_xml lisiya_tsv,,92961,99750,##	#ac	v:pred	=pro.1:a_u	ln	np:p_u	=rn_pro.1:poss	%	v:pred	=dem_pro:p_a	np.h:a_a	=rn_pro.h:poss	nc	nc	nc	nc	nc	nc	nc	nc,,alisiya
alisiya_0015,mcarta,"[The speaker begins to talk in Ilokano, so the Ilokano interviewer asks her to speak Arta.]",NC,NC,"[The speaker begins to talk in Ilokano, so the Ilokano interviewer asks her to speak Arta.]",en,MORPHEME_ALIGNED,,lisiya_mp3 lisiya_wav lisiya_eaf lisiya_xml lisiya_tsv,,100808,116140,nc,,alisiya
alisiya_0016,mcarta,"""Koma:re, ittan mu nen i ana:kuy. Manga:paditèng, mappati wada d.""",#	Koma:re	ittan	=mu	=nen	i	ana:	=ku	=y	#	0	manga:-paditèng	#	0	map-pati	=wada	=d,#	neighbor	PV.see	=2SG.GEN	=please	DEF	child	=1SG.GEN	=SPC	#	0	PROG.AV-disease	#	0	AV-die	=probably	=POST,"""My neighbor, please look at my child. She is sick, and probably she will die.""",en,MORPHEME_ALIGNED,,lisiya_mp3 lisiya_wav lisiya_eaf lisiya_xml lisiya_tsv,,117465,122025,##ds	np.h:voc	v:pred	=pro.2:a_u	=rv	ln	np.h:p_u	=rn_pro.1:poss	=rn	##ds	0.h:s_a	v:pred	##ds	0.h:s_a	v:pred	=rv	=rv,,alisiya
alisiya_0017,mcarta,"Tinala:duwande:tèn ni koma:redi, ittan di.",#	Tinala:duwan	=de:	=tèn	ni	koma:re	=di	#	0	inta-n	=di,#	<PST>offer.food-LV	=POST	=1SG	GEN.DEF	neighbor	=3PL.GEN	#	0	see-PV	=3PL.GEN,"Their neighbor offered food to me (to the spirit inside me), and found out.",en,WORD_ALIGNED,,lisiya_mp3 lisiya_wav lisiya_eaf lisiya_xml lisiya_tsv,,122775,126205,##	v:pred	=rv	=pro.1:p_u	ln	np.h:a_u	=rn_pro.h:poss	##	0.d:p_u	v:pred	=pro.h:a_u,,alisiya
alisiya_0018,mcarta,Atti: an name:si ti sapang u y.,#	0	Atti:	=an	nam-pe:si	ti	sapang	=u	=y,#	0	exist	=hearsay	PST.AV-slap	OBL.DEF	back	=1SG.GEN	=SPC,It was said that something slapped my back.,en,MORPHEME_ALIGNED,,lisiya_mp3 lisiya_wav lisiya_eaf lisiya_xml lisiya_tsv,,126240,129740,##	0.d:a_a	other	=rv	v:pred	ln	np:p_a	=rn_pro.1:poss	=rn,,alisiya
alisiya_0019,mcarta,Awan me:ta.,#	0	Awan	me:ta,#	0	NEG	POT.PV.see,It is not visible.,en,MORPHEME_ALIGNED,,lisiya_mp3 lisiya_wav lisiya_eaf lisiya_xml lisiya_tsv,,129930,131250,##	0.d:s_up	other	v:pred,,alisiya
alisiya_0020,mcarta,"Karangètan. Pine:sinan an i sapang u y, ènsi:na minapaditèng tèn.",#	0	Karangèt	=an	#	0	P<in>e:sin-an	=an	i	sapang	=u	=y	#	ènsi:na	mina-paditèng	=tèn,#	0	small.spirit	=hearsay	#	0	<PST>slap-LV	=hearsay	DEF	back	=1SG.GEN	=SPC	#	so.that	PST.AV-disease	=1SG,"It is said that it was a small spirit. It slapped my back, so I got sick.",en,MORPHEME_ALIGNED,,lisiya_mp3 lisiya_wav lisiya_eaf lisiya_xml lisiya_tsv,,132280,136510,##	0.d:s_np	np:pred	=rv	##	0.d:a_u	v:pred	=rv	ln	np:p_u	=rn_pro.1:poss	=rn	#ac	other	v:pred	=pro.1:s_a,,alisiya
alisiya_0021,mcarta,"Minapi:pi:yadtèn, awandi minapilipili ay pilèy, nagabbalin de: tèn napilèy,",#	Mina-pi:-pi:ya	=d	=tèn	#	0	awan	=di	mina-pili-pili	ay	pilèy	#	nagèbbalin	=de:	=tèn	na-pilèy,#	PST.POT-improve	=POST	=1SG	#	0	NEG	=POST	PST.POT-PLRC-remove	TOP	crippled	#	PST.AV.possible	=POST	=1SG	PST.AV-crippled,"I recovered, (but) my crippleness was not removed at all. I became crippled,",en,WORD_ALIGNED,,lisiya_mp3 lisiya_wav lisiya_eaf lisiya_xml lisiya_tsv,,137575,142835,##	v:pred	=rv	=pro.1:s_a	##neg	0.h:a_up	other	=rv	v:pred	ln	np:p_up	##	other	=other	=pro.1:s_a	v:pred,,alisiya
alisiya_0022,mcarta,da nabayag hug tèn napaditèng.,#	da	na-bayag	=hug	=tèn	a	na-paditèng,#	because	PST.AV-long	=as.said	=1SG	LIG	PST.AV-disease,"because, as I said, I was sick for a long time.",en,MORPHEME_ALIGNED,"nabayag is formally a verb, but it always forms a complex sentence together with ""main"" verbs. Hence treated as an <other> adverbial here.",lisiya_mp3 lisiya_wav lisiya_eaf lisiya_xml lisiya_tsv,,143705,146565,#ac	other	other	=rv	=pro.1:s_a	other	v:pred,,alisiya
alisiya_0023,mcarta,"Ènsi:na aytay, napilèy de: tèn",#	Ènsi:na	aytay	na-pilèy	=de:	=tèn,#	so.that	now	PST.AV-crippled	=POST	=1SG,"That is why, now, I became crippled,",en,MORPHEME_ALIGNED,,lisiya_mp3 lisiya_wav lisiya_eaf lisiya_xml lisiya_tsv,,148024,152549,#ac	other	other	v:pred	=rv	=pro.1:s_a,,alisiya
alisiya_0024,mcarta,"konta dyo:bèbbèlèt ta salamat tèn ta Dios namara:tu dèn, maski pilèy tèn.",#	konta	dyo:bèbbèlèt	ta	salamat	=tèn	ta	Dios	#	0	nam-ara:tu	dèn	#	maski	pilèy	=tèn,#	but	NC	OBL	thank	=1SG	OBL	god	#	0	AV-create	1SG.OBL	#	even	crippled	=1SG,but I thank God for creating me although I am crippled.,en,MORPHEME_ALIGNED,,lisiya_mp3 lisiya_wav lisiya_eaf lisiya_xml lisiya_tsv,,152549,158789,##	other	nc	other	np:pred	=pro.1:a_np	ln	np:p_np	#	0:a_a	v:pred	pro.1:p_a	#ac	other	np:pred	=pro.1:s_np,,alisiya
